[LVL]
BGFC=7495f5 BGSC=f5fefd
EGIX=7296 EGIY=319 EGX=7456 EGY=319
EI=10 EP=0 EX=5728 EY=288
EI=4 EP=0 EX=224 EY=448
EI=1 EP=0 EX=6048 EY=384
EI=0 EP=1 EX=6880 EY=224
EI=9 EP=0 EX=4320 EY=416
EI=4 EP=0 EX=864 EY=384
EI=5 EP=2 EX=6336 EY=320
EI=10 EP=0 EX=5600 EY=384
EI=0 EP=1 EX=5600 EY=256
EI=6 EP=0 EX=7232 EY=320
EI=8 EP=0 EX=5408 EY=224
EI=6 EP=0 EX=4928 EY=0
EI=0 EP=1 EX=1632 EY=192
EI=4 EP=0 EX=2880 EY=416
EI=6 EP=0 EX=7584 EY=320
EI=7 EP=2 EX=7000 EY=320
EI=8 EP=0 EX=3392 EY=320
EI=10 EP=0 EX=3584 EY=384
EI=6 EP=0 EX=2336 EY=96
EI=6 EP=0 EX=2912 EY=96
EI=1 EP=0 EX=6272 EY=384
EI=1 EP=1 EX=6080 EY=256
EI=6 EP=0 EX=7712 EY=192
EI=5 EP=2 EX=928 EY=288
EI=0 EP=1 EX=5440 EY=256
EI=9 EP=0 EX=5696 EY=352
EI=9 EP=0 EX=5376 EY=320
EI=4 EP=0 EX=6240 EY=416
EI=7 EP=2 EX=7192 EY=320
EI=6 EP=0 EX=7008 EY=320
EI=6 EP=0 EX=2304 EY=96
EI=6 EP=0 EX=7616 EY=320
EI=4 EP=0 EX=6272 EY=416
EI=6 EP=0 EX=5088 EY=0
EI=4 EP=0 EX=832 EY=448
EI=10 EP=0 EX=4352 EY=192
EI=6 EP=0 EX=7712 EY=256
EI=3 EP=1 EX=5088 EY=128
EI=0 EP=1 EX=7360 EY=160
EI=6 EP=0 EX=7712 EY=32
EI=6 EP=0 EX=6848 EY=320
EI=9 EP=0 EX=5440 EY=384
EI=1 EP=1 EX=6208 EY=256
EI=0 EP=1 EX=6176 EY=192
EI=6 EP=0 EX=5280 EY=448
EI=0 EP=1 EX=4128 EY=96
EI=6 EP=0 EX=1472 EY=352
EI=6 EP=0 EX=6912 EY=320
EI=6 EP=0 EX=7328 EY=320
EI=0 EP=1 EX=416 EY=256
EI=6 EP=0 EX=4736 EY=0
EI=4 EP=0 EX=1536 EY=448
EI=6 EP=0 EX=5280 EY=320
EI=3 EP=1 EX=6112 EY=256
EI=6 EP=0 EX=4640 EY=0
EI=6 EP=0 EX=2368 EY=96
EI=10 EP=0 EX=5728 EY=448
EI=6 EP=0 EX=7520 EY=320
EI=10 EP=0 EX=5664 EY=384
EI=6 EP=0 EX=6560 EY=320
EI=3 EP=0 EX=1504 EY=416
EI=1 EP=0 EX=6080 EY=384
EI=5 EP=1 EX=4928 EY=128
EI=10 EP=0 EX=608 EY=352
EI=0 EP=1 EX=832 EY=192
EI=0 EP=1 EX=7392 EY=224
EI=6 EP=0 EX=1216 EY=288
EI=6 EP=0 EX=5024 EY=0
EI=6 EP=0 EX=5056 EY=0
EI=9 EP=0 EX=2624 EY=448
EI=0 EP=2 EX=6095 EY=383
EI=6 EP=0 EX=7104 EY=320
EI=9 EP=0 EX=5632 EY=416
EI=4 EP=0 EX=6112 EY=448
EI=6 EP=0 EX=7392 EY=320
EI=10 EP=0 EX=5472 EY=352
EI=0 EP=1 EX=6112 EY=192
EI=9 EP=0 EX=5504 EY=448
EI=6 EP=0 EX=7168 EY=320
EI=7 EP=0 EX=5632 EY=288
EI=9 EP=0 EX=5632 EY=352
EI=9 EP=0 EX=5632 EY=384
EI=6 EP=0 EX=2304 EY=224
EI=10 EP=0 EX=5600 EY=448
EI=10 EP=0 EX=5792 EY=320
EI=6 EP=0 EX=6944 EY=320
EI=9 EP=0 EX=5760 EY=352
EI=10 EP=0 EX=5472 EY=416
EI=9 EP=0 EX=2624 EY=416
EI=9 EP=0 EX=1344 EY=192
EI=6 EP=0 EX=4608 EY=320
EI=9 EP=0 EX=5632 EY=448
EI=6 EP=0 EX=7680 EY=320
EI=9 EP=0 EX=5568 EY=448
EI=9 EP=0 EX=5504 EY=416
EI=6 EP=0 EX=2304 EY=160
EI=9 EP=0 EX=5440 EY=448
EI=9 EP=0 EX=5440 EY=352
EI=4 EP=0 EX=800 EY=448
EI=0 EP=1 EX=1152 EY=192
EI=7 EP=0 EX=5568 EY=352
EI=4 EP=2 EX=5408 EY=223
EI=6 EP=0 EX=5216 EY=0
EI=4 EP=0 EX=832 EY=384
EI=5 EP=2 EX=5248 EY=224
EI=4 EP=0 EX=3264 EY=416
EI=9 EP=0 EX=3552 EY=352
EI=6 EP=0 EX=2176 EY=32
EI=6 EP=0 EX=7712 EY=224
EI=6 EP=0 EX=6880 EY=320
EI=7 EP=0 EX=5440 EY=320
EI=10 EP=0 EX=1376 EY=416
EI=10 EP=0 EX=5408 EY=448
EI=9 EP=0 EX=2624 EY=384
EI=9 EP=0 EX=5632 EY=320
EI=1 EP=2 EX=1184 EY=288
EI=6 EP=0 EX=3424 EY=32
EI=7 EP=0 EX=3552 EY=256
EI=10 EP=0 EX=5408 EY=416
EI=10 EP=0 EX=5728 EY=384
EI=10 EP=0 EX=5792 EY=352
EI=6 EP=0 EX=7552 EY=320
EI=10 EP=0 EX=5408 EY=288
EI=10 EP=0 EX=5408 EY=256
EI=6 EP=0 EX=7712 EY=288
EI=9 EP=0 EX=5376 EY=384
EI=9 EP=0 EX=5376 EY=352
EI=0 EP=1 EX=6144 EY=160
EI=10 EP=0 EX=5664 EY=448
EI=2 EP=2 EX=4240 EY=189
EI=6 EP=0 EX=4800 EY=256
EI=1 EP=0 EX=3200 EY=384
EI=6 EP=0 EX=5280 EY=288
EI=6 EP=0 EX=5248 EY=288
EI=10 EP=0 EX=3392 EY=416
EI=9 EP=0 EX=1344 EY=256
EI=1 EP=0 EX=6016 EY=384
EI=6 EP=0 EX=5152 EY=0
EI=6 EP=0 EX=5120 EY=0
EI=6 EP=0 EX=4960 EY=0
EI=6 EP=0 EX=6752 EY=320
EI=6 EP=0 EX=6560 EY=352
EI=4 EP=0 EX=256 EY=448
EI=6 EP=0 EX=4288 EY=192
EI=0 EP=1 EX=6176 EY=160
EI=3 EP=0 EX=2816 EY=416
EI=10 EP=0 EX=2656 EY=352
EI=6 EP=0 EX=6976 EY=320
EI=6 EP=0 EX=4832 EY=0
EI=6 EP=0 EX=4896 EY=0
EI=4 EP=0 EX=3168 EY=448
EI=9 EP=0 EX=5376 EY=416
EI=9 EP=0 EX=3616 EY=448
EI=3 EP=1 EX=1568 EY=256
EI=5 EP=0 EX=608 EY=448
EI=0 EP=0 EX=5984 EY=384
EI=6 EP=0 EX=3424 EY=0
EI=10 EP=0 EX=544 EY=384
EI=1 EP=0 EX=160 EY=416
EI=4 EP=2 EX=5792 EY=287
EI=4 EP=0 EX=160 EY=448
EI=10 EP=0 EX=2592 EY=416
EI=4 EP=0 EX=800 EY=384
EI=1 EP=0 EX=3168 EY=384
EI=10 EP=0 EX=5664 EY=320
EI=9 EP=0 EX=4320 EY=384
EI=10 EP=0 EX=5472 EY=384
EI=1 EP=0 EX=256 EY=416
EI=10 EP=0 EX=2592 EY=448
EI=4 EP=0 EX=3136 EY=416
EI=1 EP=0 EX=128 EY=416
EI=1 EP=0 EX=192 EY=416
EI=6 EP=0 EX=7712 EY=416
EI=8 EP=0 EX=1376 EY=160
EI=1 EP=0 EX=512 EY=416
EI=1 EP=0 EX=288 EY=416
EI=0 EP=1 EX=3968 EY=96
EI=8 EP=0 EX=5728 EY=256
EI=1 EP=0 EX=96 EY=416
EI=3 EP=1 EX=5056 EY=128
EI=4 EP=0 EX=6144 EY=416
EI=6 EP=0 EX=4992 EY=0
EI=1 EP=0 EX=64 EY=416
EI=3 EP=1 EX=256 EY=288
EI=1 EP=0 EX=3136 EY=384
EI=1 EP=0 EX=6112 EY=384
EI=4 EP=0 EX=6144 EY=448
EI=0 EP=1 EX=864 EY=192
EI=1 EP=1 EX=160 EY=288
EI=9 EP=0 EX=5760 EY=384
EI=4 EP=0 EX=2912 EY=416
EI=10 EP=0 EX=6528 EY=416
EI=1 EP=0 EX=0 EY=416
EI=4 EP=0 EX=6176 EY=416
EI=1 EP=0 EX=416 EY=416
EI=4 EP=0 EX=896 EY=352
EI=4 EP=0 EX=32 EY=448
EI=9 EP=0 EX=3488 EY=416
EI=4 EP=0 EX=448 EY=448
EI=6 EP=0 EX=1088 EY=288
EI=6 EP=0 EX=7712 EY=320
EI=10 EP=0 EX=1376 EY=352
EI=4 EP=0 EX=288 EY=448
EI=0 EP=1 EX=832 EY=256
EI=0 EP=1 EX=864 EY=224
EI=6 EP=0 EX=7712 EY=96
EI=4 EP=0 EX=3104 EY=448
EI=1 EP=0 EX=3296 EY=384
EI=10 EP=0 EX=5408 EY=352
EI=6 EP=0 EX=7488 EY=320
EI=1 EP=0 EX=864 EY=320
EI=1 EP=0 EX=480 EY=416
EI=9 EP=0 EX=1344 EY=224
EI=5 EP=2 EX=768 EY=288
EI=0 EP=2 EX=399 EY=415
EI=6 EP=0 EX=2432 EY=96
EI=6 EP=0 EX=2528 EY=96
EI=1 EP=0 EX=32 EY=416
EI=9 EP=0 EX=3360 EY=448
EI=1 EP=0 EX=2912 EY=384
EI=6 EP=0 EX=5280 EY=416
EI=6 EP=0 EX=7648 EY=320
EI=4 EP=0 EX=2912 EY=448
EI=4 EP=0 EX=6048 EY=416
EI=4 EP=0 EX=0 EY=448
EI=4 EP=0 EX=320 EY=448
EI=4 EP=2 EX=5728 EY=255
EI=9 EP=0 EX=576 EY=320
EI=4 EP=0 EX=3200 EY=416
EI=1 EP=0 EX=1568 EY=384
EI=9 EP=0 EX=576 EY=352
EI=10 EP=0 EX=608 EY=320
EI=0 EP=1 EX=480 EY=256
EI=10 EP=0 EX=1376 EY=256
EI=8 EP=0 EX=5664 EY=288
EI=10 EP=0 EX=608 EY=384
EI=4 EP=2 EX=2656 EY=287
EI=9 EP=0 EX=2080 EY=320
EI=7 EP=0 EX=2080 EY=256
EI=9 EP=0 EX=3360 EY=352
EI=10 EP=0 EX=5408 EY=320
EI=4 EP=0 EX=2976 EY=416
EI=6 EP=0 EX=4992 EY=256
