--Level Data--
5760.0 480.0
74.0 408.0
1 RigitMedium
--Tile Data--
9 1920.0 288.0
10 1952.0 288.0
6 2464.0 32.0
6 2464.0 64.0
6 2400.0 352.0
0 2400.0 384.0
1 2432.0 384.0
1 2464.0 384.0
1 2496.0 384.0
1 2528.0 384.0
1 2560.0 384.0
1 2592.0 384.0
1 2624.0 384.0
1 2656.0 384.0
1 2688.0 384.0
1 2720.0 384.0
1 2752.0 384.0
1 2784.0 384.0
1 2816.0 384.0
1 2848.0 384.0
1 2880.0 384.0
2 2912.0 384.0
3 2400.0 416.0
4 2432.0 416.0
4 2464.0 416.0
4 2496.0 416.0
4 2528.0 416.0
4 2560.0 416.0
4 2592.0 416.0
4 2624.0 416.0
4 2656.0 416.0
4 2688.0 416.0
4 2720.0 416.0
4 2752.0 416.0
4 2784.0 416.0
4 2816.0 416.0
4 2848.0 416.0
4 2880.0 416.0
5 2912.0 416.0
3 2400.0 448.0
4 2432.0 448.0
4 2464.0 448.0
4 2496.0 448.0
4 2528.0 448.0
4 2560.0 448.0
4 2592.0 448.0
4 2624.0 448.0
4 2656.0 448.0
4 2688.0 448.0
4 2720.0 448.0
4 2752.0 448.0
4 2784.0 448.0
4 2816.0 448.0
4 2848.0 448.0
4 2880.0 448.0
5 2912.0 448.0
--Bonus Data--
2 0 0 320.0 288.0
3 0 1 352.0 288.0
2 0 0 384.0 288.0
3 0 0 416.0 288.0
2 0 0 448.0 288.0
3 0 0 384.0 160.0
1 0 0 384.0 192.0
1 0 0 384.0 224.0
1 0 0 544.0 320.0
1 0 0 576.0 320.0
1 0 0 544.0 288.0
1 0 0 576.0 288.0
1 0 0 544.0 256.0
1 0 0 576.0 256.0
1 0 0 768.0 128.0
1 0 0 800.0 128.0
1 0 0 768.0 160.0
1 0 0 800.0 160.0
1 0 0 768.0 192.0
1 0 0 800.0 192.0
3 0 0 1088.0 128.0
1 0 0 1088.0 96.0
1 0 0 1088.0 160.0
1 0 0 1088.0 192.0
2 0 0 1120.0 128.0
3 0 0 1152.0 128.0
1 0 0 1152.0 96.0
1 0 0 1152.0 160.0
1 0 0 1152.0 192.0
2 0 0 1184.0 128.0
2 0 0 1216.0 128.0
2 0 0 1248.0 128.0
1 0 0 1248.0 96.0
1 0 0 1184.0 96.0
1 0 0 1632.0 224.0
1 0 0 1664.0 224.0
1 0 0 1632.0 256.0
1 0 0 1664.0 256.0
1 0 0 1632.0 288.0
1 0 0 1664.0 288.0
2 0 0 2016.0 192.0
2 0 1 2048.0 192.0
2 0 0 2080.0 192.0
2 0 0 2112.0 64.0
2 0 0 2144.0 64.0
2 0 0 2176.0 64.0
2 0 0 2208.0 64.0
2 0 0 2240.0 64.0
2 0 0 2272.0 64.0
2 0 0 2304.0 64.0
2 0 0 2336.0 64.0
2 0 0 2368.0 64.0
2 0 0 2400.0 64.0
2 0 0 2432.0 64.0
1 0 0 2112.0 32.0
1 0 0 2144.0 32.0
1 0 0 2176.0 32.0
1 0 0 2208.0 32.0
1 0 0 2240.0 32.0
1 0 0 2272.0 32.0
1 0 0 2304.0 32.0
1 0 0 2336.0 32.0
1 0 0 2368.0 32.0
1 0 0 2400.0 32.0
1 0 0 2432.0 32.0
1 0 0 2464.0 224.0
1 0 0 2496.0 224.0
1 0 0 2464.0 256.0
1 0 0 2496.0 256.0
1 0 0 2464.0 288.0
1 0 0 2496.0 288.0
1 0 0 2624.0 160.0
1 0 0 2624.0 192.0
1 0 0 2688.0 160.0
1 0 0 2688.0 192.0
2 0 0 2560.0 256.0
2 0 0 2624.0 256.0
2 0 0 2688.0 256.0
2 0 0 2752.0 256.0
2 0 0 2592.0 128.0
2 0 0 2656.0 128.0
2 0 0 2720.0 128.0
3 0 0 2624.0 128.0
3 0 0 2688.0 128.0
3 0 0 2592.0 256.0
3 0 0 2656.0 256.0
3 0 0 2720.0 256.0
--Enemy Data--
0 0 0 271.0 415.0
0 0 0 431.0 415.0
2 0 0 672.0 256.0
2 0 0 704.0 256.0
1 0 0 896.0 191.0
0 0 0 815.0 287.0
0 0 0 1071.0 287.0
0 2 0 1325.0 268.0
0 0 0 1199.0 287.0
2 0 0 1472.0 256.0
1 0 0 1952.0 255.0
0 0 0 2063.0 191.0
0 0 0 2479.0 31.0
0 0 0 2703.0 255.0
0 0 0 2735.0 127.0
0 0 0 2863.0 383.0
0 2 0 2605.0 364.0
0 2 0 2733.0 364.0
--Slope Data--
0 288.0 288.0
0 192.0 384.0
0 256.0 320.0
0 224.0 352.0
