--Level Data--
7495f5 f5fefd
5344.0 383.0 5536.0 383.0
5760.0 480.0
74.0 408.0
0 MainMusicMOD
--Background Data--
4 75
3 55
2 35
1 15
--Tile Data--
4 2080.0 448.0
5 2112.0 448.0
7 1920.0 256.0
8 1952.0 256.0
9 1920.0 288.0
10 1952.0 288.0
6 2464.0 32.0
6 2464.0 64.0
6 2400.0 352.0
0 2400.0 384.0
1 2432.0 384.0
1 2464.0 384.0
1 2496.0 384.0
1 2528.0 384.0
1 2560.0 384.0
1 2592.0 384.0
1 2624.0 384.0
1 2656.0 384.0
1 2688.0 384.0
1 2720.0 384.0
1 2752.0 384.0
1 2784.0 384.0
1 2816.0 384.0
1 2848.0 384.0
1 2880.0 384.0
2 2912.0 384.0
3 2400.0 416.0
4 2432.0 416.0
4 2464.0 416.0
4 2496.0 416.0
4 2528.0 416.0
4 2560.0 416.0
4 2592.0 416.0
4 2624.0 416.0
4 2656.0 416.0
4 2688.0 416.0
4 2720.0 416.0
4 2752.0 416.0
4 2784.0 416.0
4 2816.0 416.0
4 2848.0 416.0
4 2880.0 416.0
5 2912.0 416.0
3 2400.0 448.0
4 2432.0 448.0
4 2464.0 448.0
4 2496.0 448.0
4 2528.0 448.0
4 2560.0 448.0
4 2592.0 448.0
4 2624.0 448.0
4 2656.0 448.0
4 2688.0 448.0
4 2720.0 448.0
4 2752.0 448.0
4 2784.0 448.0
4 2816.0 448.0
4 2848.0 448.0
4 2880.0 448.0
5 2912.0 448.0

0 3008.0 288.0
2 3040.0 288.0
3 3008.0 320.0
5 3040.0 320.0
3 3008.0 352.0
5 3040.0 352.0
3 3008.0 384.0
5 3040.0 384.0
3 3008.0 416.0
5 3040.0 416.0
3 3008.0 448.0
5 3040.0 448.0
6 3168.0 288.0
6 3168.0 320.0
6 3200.0 288.0
6 3232.0 288.0
6 3264.0 288.0
6 3296.0 288.0
6 3328.0 288.0
6 3360.0 288.0
6 3392.0 288.0
6 3424.0 288.0
6 3456.0 288.0
6 3488.0 288.0
6 3488.0 320.0

6 3680.0 384.0
0 3680.0 416.0
3 3680.0 448.0
1 3712.0 416.0
4 3712.0 448.0
1 3744.0 416.0
4 3744.0 448.0
1 3776.0 416.0
4 3776.0 448.0
1 3808.0 416.0
4 3808.0 448.0
1 3840.0 416.0
4 3840.0 448.0
1 3872.0 416.0
4 3872.0 448.0
1 3904.0 416.0
4 3904.0 448.0
2 3936.0 416.0
5 3936.0 448.0
7 3840.0 352.0
8 3872.0 352.0
9 3840.0 384.0
10 3872.0 384.0
7 3904.0 320.0
8 3936.0 320.0
9 3904.0 352.0
10 3936.0 352.0
9 3904.0 384.0
10 3936.0 384.0
6 4032.0 192.0
6 4064.0 192.0
6 4096.0 192.0
6 4160.0 384.0
6 4192.0 384.0
6 4224.0 384.0
6 4256.0 384.0
7 4192.0 256.0
8 4224.0 256.0
9 4192.0 288.0
10 4224.0 288.0
9 4192.0 320.0
10 4224.0 320.0
9 4192.0 352.0
10 4224.0 352.0
6 4448.0 384.0
6 4448.0 416.0
6 4448.0 448.0
6 4480.0 384.0
6 4512.0 384.0
6 4544.0 384.0
6 4576.0 384.0
6 4608.0 384.0
6 4640.0 384.0
6 4672.0 384.0
6 4704.0 384.0
6 4736.0 384.0
6 4768.0 384.0
6 4800.0 384.0
6 4832.0 384.0
6 4864.0 384.0
6 4896.0 384.0
6 4928.0 384.0
6 4960.0 384.0
6 4992.0 384.0
6 5024.0 384.0
6 5056.0 384.0
6 5088.0 384.0
6 5120.0 384.0
6 5152.0 384.0
6 5184.0 384.0
6 5216.0 384.0
6 5248.0 384.0
6 5280.0 384.0
6 5312.0 384.0
6 5344.0 384.0
6 5376.0 384.0
6 5408.0 384.0
6 5440.0 384.0
6 5472.0 384.0
6 5504.0 384.0
6 5536.0 384.0
6 5568.0 384.0
6 5600.0 384.0
6 5632.0 384.0
6 5664.0 384.0
6 5696.0 384.0
6 5728.0 384.0
6 5760.0 384.0
6 5792.0 384.0
6 5792.0 352.0
6 5792.0 320.0
6 5792.0 288.0
6 5792.0 256.0
6 5792.0 224.0
6 5792.0 192.0
6 5792.0 160.0
6 5792.0 128.0
6 5792.0 96.0
6 5792.0 64.0
6 5792.0 32.0
6 5792.0 0.0
6 5792.0 416.0
6 5792.0 448.0
--Bonus Data--
2 0 0 320.0 288.0
3 0 1 352.0 288.0
2 0 0 384.0 288.0
3 0 0 416.0 288.0
2 0 0 448.0 288.0
3 0 0 384.0 160.0
1 0 0 384.0 192.0
1 0 0 384.0 224.0
1 0 0 544.0 320.0
1 0 0 576.0 320.0
1 0 0 544.0 288.0
1 0 0 576.0 288.0
1 0 0 544.0 256.0
1 0 0 576.0 256.0
1 0 0 768.0 128.0
1 0 0 800.0 128.0
1 0 0 768.0 160.0
1 0 0 800.0 160.0
1 0 0 768.0 192.0
1 0 0 800.0 192.0
3 0 0 1088.0 128.0
1 0 0 1088.0 96.0
1 0 0 1088.0 160.0
1 0 0 1088.0 192.0
2 0 0 1120.0 128.0
3 0 0 1152.0 128.0
1 0 0 1152.0 96.0
1 0 0 1152.0 160.0
1 0 0 1152.0 192.0
2 0 0 1184.0 128.0
2 0 0 1216.0 128.0
2 0 0 1248.0 128.0
1 0 0 1248.0 96.0
1 0 0 1184.0 96.0
1 0 0 1632.0 224.0
1 0 0 1664.0 224.0
1 0 0 1632.0 256.0
1 0 0 1664.0 256.0
1 0 0 1632.0 288.0
1 0 0 1664.0 288.0
2 0 0 2016.0 192.0
2 0 1 2048.0 192.0
2 0 0 2080.0 192.0
2 0 0 2112.0 64.0
2 0 0 2144.0 64.0
2 0 0 2176.0 64.0
2 0 0 2208.0 64.0
2 0 0 2240.0 64.0
2 0 0 2272.0 64.0
2 0 0 2304.0 64.0
2 0 0 2336.0 64.0
2 0 0 2368.0 64.0
2 0 0 2400.0 64.0
2 0 0 2432.0 64.0
1 0 0 2112.0 32.0
1 0 0 2144.0 32.0
1 0 0 2176.0 32.0
1 0 0 2208.0 32.0
1 0 0 2240.0 32.0
1 0 0 2272.0 32.0
1 0 0 2304.0 32.0
1 0 0 2336.0 32.0
1 0 0 2368.0 32.0
1 0 0 2400.0 32.0
1 0 0 2432.0 32.0
1 0 0 2464.0 224.0
1 0 0 2496.0 224.0
1 0 0 2464.0 256.0
1 0 0 2496.0 256.0
1 0 0 2464.0 288.0
1 0 0 2496.0 288.0
1 0 0 2624.0 160.0
1 0 0 2624.0 192.0
1 0 0 2688.0 160.0
1 0 0 2688.0 192.0
2 0 0 2560.0 256.0
2 0 0 2624.0 256.0
2 0 0 2688.0 256.0
2 0 0 2752.0 256.0
2 0 0 2592.0 128.0
2 0 0 2656.0 128.0
2 0 0 2720.0 128.0
3 0 0 2624.0 128.0
3 0 0 2688.0 128.0
3 0 0 2592.0 256.0
3 0 0 2656.0 256.0
3 0 0 2720.0 256.0
1 0 0 3264.0 96.0
1 0 0 3264.0 128.0
1 0 0 3264.0 160.0
1 0 0 3296.0 96.0
1 0 0 3296.0 128.0
1 0 0 3296.0 160.0
1 0 0 3360.0 96.0
1 0 0 3360.0 128.0
1 0 0 3360.0 160.0
1 0 0 3392.0 96.0
1 0 0 3392.0 128.0
1 0 0 3392.0 160.0
1 0 0 4928.0 192.0
1 0 0 4960.0 192.0
1 0 0 4928.0 224.0
1 0 0 4960.0 224.0
1 0 0 4928.0 256.0
1 0 0 4960.0 256.0
1 0 0 5024.0 224.0
1 0 0 5056.0 224.0
1 0 0 5088.0 224.0
1 0 0 5024.0 256.0
1 0 0 5056.0 256.0
1 0 0 5088.0 256.0
--Enemy Data--
0 0 0 271.0 415.0
0 0 0 431.0 415.0
2 0 0 672.0 256.0
2 0 0 704.0 256.0
1 0 0 896.0 191.0
0 0 0 815.0 287.0
0 0 0 1071.0 287.0
0 2 0 1325.0 268.0
0 0 0 1199.0 287.0
2 0 0 1472.0 256.0
1 0 0 1952.0 255.0
0 0 0 2063.0 191.0
0 0 0 2479.0 31.0
0 0 0 2703.0 255.0
0 0 0 2735.0 127.0
0 0 0 2863.0 383.0
0 2 0 2605.0 364.0
0 2 0 2733.0 364.0
2 0 0 3008.0 256.0
2 0 0 3040.0 256.0
2 0 0 3424.0 256.0
2 0 0 3456.0 256.0
2 0 0 3488.0 256.0
0 2 0 3373.0 268.0
1 0 0 3936.0 319.0
0 0 0 4847.0 383.0
0 0 0 4943.0 383.0
0 0 0 5039.0 383.0
